postcodeDistrict,catsPerHousehold,dogsPerHousehold,pre_1900,1900_1929,1930_1945,1945_1964,1965_1982,1983_1999,2000_present,unknown
AB25,0.103616651,0.118829753,0.2165919151836072,0.07419399492357075,0.08348566848035295,0.06888481255812828,0.1923655463477094,0.10559966594856242,0.241970697723311,0.016907698834757966
AB30,1.185075622875,1.3590696381249998,0.29998577390437364,0.05471296616226438,0.04783530316497855,0.12663312634357662,0.1781927028209974,0.14783300269184318,0.1184965830790546,0.02631054183291175
AB31,0.600470433,0.688632116,0.2194044384436332,0.050986106049344185,0.05698034606875114,0.1718606731907992,0.19524151376674828,0.17798535501311327,0.10914105880020152,0.01840050866740927
AB32,0.164172192,0.188276121,0.2484729547694624,0.1271726268509403,0.09044656430493292,0.1365955636355559,0.15005840315655,0.11560971333469008,0.1236563523602962,0.007987821587572174
AB33,0.789062664,0.904913652,0.3329682228195895,0.0448295127822654,0.04003501072537748,0.1488572176398461,0.1731910400692527,0.14523462055897576,0.09836597334834932,0.016518402056343716
AB34,0.841308532,0.964830311,0.23815581639328237,0.04419887832854718,0.05498703896902019,0.15077638294999837,0.24941998682967517,0.1410863575982809,0.11549641291455479,0.0058791260166411305
AB35,0.446560902,0.512125431,0.19794502234134076,0.05338723931850149,0.05405340004695372,0.16916888357825074,0.23287530693171574,0.16140291332382828,0.1060502658290879,0.02511696863032143
AB36,0.615475983,0.705840797,0.07001682892635512,0.062258244637438655,0.09263863992524296,0.1955008561047381,0.2496014390278799,0.18055100767904775,0.12743465585409058,0.02199832784520694
AB37,1.050657781,1.204916431,0.2782684896544387,0.03612469120915572,0.048996451737213245,0.14270764419693197,0.19313854192546237,0.1276669539332384,0.1414848021797736,0.03161242516378604
AB38,1.144688694,1.312753059,0.3054430099529867,0.051451539315085816,0.039787773235177716,0.12425002596729383,0.17623897583609624,0.16709160848780089,0.11683184333914166,0.018905223866417093
