stationReference,stationName,latitude,longitude,easting,northing
267661TP,Rainfall station,51.388049,-1.53073,432750.5631903986,165549.50707326902
268103TP,Rainfall station,51.53833,-1.56235,430450.5083979596,182249.43609049276
268851TP,Rainfall station,51.462587,-1.327004,446850.5253871707,173949.506520287
269627TP,Rainfall station,51.345161,-1.239706,453050.5492295806,160949.56964106834
2705SO,Rainfall station,50.759531,-0.787028,485650.5646821798,96249.74640323328
270669TP,Rainfall station,51.292403,-1.035495,467350.52550660307,155249.50680641935
271491TP,Rainfall station,51.330311,-0.763419,486250.52278909687,159749.47657524387
274178TP,Rainfall station,51.667285,-0.923447,474550.5243837733,197049.39645207123
274918TP,Rainfall station,51.440044,-0.766213,485850.55617716577,171949.46880466165
276036TP,Rainfall station,51.54306,-0.500973,504050.56112704484,183749.43472726282
276316TP,Rainfall station,51.718037,-0.217242,523250.52600062796,203649.3476533318
276651TP,Rainfall station,51.755019,-0.285332,518450.51538385986,207649.39932180967
276956TP,Rainfall station,51.828295,-0.446536,507150.5640982858,215549.37345901548
277407TP,Rainfall station,51.686586,-0.341445,514750.567706994,199949.41517592827
278744TP,Rainfall station,51.690006,-0.530846,501650.56581287493,200049.3526000311
279941TP,Rainfall station,51.396984,-0.540252,501650.5693824971,167449.54309809752
280826TP,Rainfall station,51.226121,-0.774805,485650.5651097228,148149.52902705074
281186TP,Rainfall station,51.119894,-0.851916,480450.5355701937,136249.5590866293
282290TP,Rainfall station,51.143947,-0.512508,504150.52332062647,139349.58130690173
282781TP,Rainfall station,51.256125,-0.566214,500150.52807583136,151749.57929173822
282947TP,Rainfall station,51.280335,-0.635718,495250.52213755413,154349.4944457786
283596TP,Rainfall station,51.341055,-0.599459,497650.51952611166,161149.51258939184
284703TP,Rainfall station,51.178085,-0.133707,530550.5384281893,143749.60102951856
285630TP,Rainfall station,51.288167,-0.337196,516050.52077802067,155649.55650914507
286392TP,Rainfall station,51.400709,-0.284238,519450.55360493436,168249.499436773
287141TP,Rainfall station,51.362722,-0.209526,524750.5518816913,164149.54497909776
287283TP,Rainfall station,51.449283,-0.224851,523450.5605864238,173749.45502843577
287451TP,Rainfall station,51.308021,-0.16144,528250.5181245273,158149.56582983735
287722TP,Rainfall station,51.344874,-0.103964,532150.5798426792,162349.54189060905
287864TP,Rainfall station,51.380452,-0.135546,529850.5646526004,166249.47640517182
287946TP,Rainfall station,51.415955,-0.162865,527850.5349289837,170149.49339993624
288092TP,Rainfall station,51.4214,-0.109429,531550.5448569715,170849.48969460017
288504TP,Rainfall station,51.349274,0.009666,540050.5174477756,163049.49424515164
289102TP,Rainfall station,51.476541,-0.017866,537750.5555259607,177149.44232403234
290007TP,Rainfall station,51.507135,0.134772,548250.5771937144,180849.4750749861
290200TP,Rainfall station,51.280521,0.134285,548950.550457462,155649.5662606308
290578TP,Rainfall station,51.367354,0.204407,553550.5165086456,165449.4933666549
291241TP,Rainfall station,51.367559,0.09523,545950.5640408434,165249.47460985827
291477TP,Rainfall station,51.458979,0.11237,546850.5487235972,175449.44730181273
294323,Rainfall station,51.206865,0.129446,548850.5424164728,147449.57589470284
300001TP,Rainfall station,51.13979,-0.960059,472850.5658400396,138349.6198539489
300874,Rainfall station,51.373888,1.173263,620950.5203205188,168649.5158206215
3014,Rainfall station,52.886657,-2.182004,387850.5577731019,332148.941064612
3015,Rainfall station,52.808314,-1.74405,417350.5729433248,323448.97500657354
301666,Rainfall station,51.131926,0.967934,607750.5491379777,141149.55358265399
3025,Rainfall station,52.701554,-2.119078,392050.55719778396,311548.99204452714
3026,Rainfall station,52.79928,-2.275079,381550.5153818535,322448.9152276985
305111,Rainfall station,51.098221,1.155768,621050.5788185204,137949.61019324142
