dateTime,stationReference,parameter,qualifier,unitName,value,latitude,longitude,easting,northing
2023-10-20 23:00:00+00:00,E5722,rainfall,Tipping Bucket Raingauge,mm,0.2,53.031102,-0.503575,500450.573983954,349248.8256053852
2023-10-20 23:30:00+00:00,E70439,level,Tidal Level,mAOD,1.399,57.89525,-5.15789,212929.8343619753,893907.5772846623
2023-10-20 23:45:00+00:00,2098,level,Stage,mASD,3.716,51.998663,-2.155508,389420.5337241324,233369.25515915692
2023-10-20 23:45:00+00:00,4161,level,Stage,mASD,2.866,52.574167,-1.035067,465490.5664379919,297809.0812620331
2023-10-20 23:45:00+00:00,E4530,rainfall,Tipping Bucket Raingauge,mm,0.0,51.156945,1.009589,610550.5401486367,144049.5371639894
2023-10-20 23:45:00+00:00,4187,level,Stage,mASD,0.666,53.052096,-1.067469,462605.53596395184,350943.8742510271
2023-10-20 23:45:00+00:00,E11120,rainfall,Tipping Bucket Raingauge,mm,0.0,50.78281,-0.694221,492150.5798444656,98949.72453987684
2023-10-20 23:45:00+00:00,3775,rainfall,Tipping Bucket Raingauge,mm,0.0,53.07731,-1.190151,454350.5534602077,353648.85621846933
2023-10-20 23:45:00+00:00,3870TH,level,Stage,mASD,0.347,51.527366,-0.344873,514914.5492223777,182237.48781536464
2023-10-20 23:45:00+00:00,3892TH,level,Stage,mASD,0.382,51.48248,-0.312323,517287.51977542863,177297.4734274995
2023-10-20 23:45:00+00:00,E11080,rainfall,Tipping Bucket Raingauge,mm,0.0,50.828064,-0.805132,484250.5403663392,103849.71802896244
2023-10-20 23:45:00+00:00,E1300,rainfall,Tipping Bucket Raingauge,mm,0.0,51.141861,-0.009362,539350.5704333455,139949.59974281362
2023-10-20 23:45:00+00:00,3057,rainfall,Tipping Bucket Raingauge,mm,0.0,52.730505,-1.571247,429050.5691182987,314848.9151771554
2023-10-20 23:45:00+00:00,E14811,level,Stage,mASD,0.121,50.695451,-1.305261,449165.544951555,88652.83525161368
2023-10-20 23:45:00+00:00,3380,rainfall,Tipping Bucket Raingauge,mm,0.2,53.405172,-1.738982,417450.5313330493,389848.7061329812
2023-10-20 23:45:00+00:00,2131,level,Stage,mASD,1.273,52.211373,-2.215962,385340.5526350381,257039.16472900988
2023-10-20 23:45:00+00:00,4117,level,Stage,mASD,3.34,53.087267,-1.506572,433145.5101324433,354563.8641245571
2023-10-20 23:45:00+00:00,E7295,rainfall,Tipping Bucket Raingauge,mm,0.0,50.814838,0.358583,566250.5150548765,104349.74858570496
2023-10-20 23:45:00+00:00,1819,rainfall,Tipping Bucket Raingauge,mm,0.2,52.178577,-2.411624,371950.54373494623,253449.2075477318
2023-10-20 23:45:00+00:00,E1110,level,Stage,mASD,1.667,51.194078,0.065165,544400.5224510579,145899.57948281258
2023-10-20 23:45:00+00:00,4690TH,level,Stage,mASD,0.293,51.773132,-0.117522,529980.5603905815,209949.29251710715
2023-10-20 23:45:00+00:00,5303TH,level,Stage,mASD,0.174,51.753614,0.01247,539008.5756925254,208018.2995478372
2023-10-20 23:45:00+00:00,551440,rainfall,Tipping Bucket Raingauge,mm,0.2,53.276556,-2.854006,343150.53456053126,375848.70825693326
2023-10-20 23:45:00+00:00,2650,level,Stage,mASD,0.609,51.91358,-2.100884,393157.5641009465,223899.25163445
2023-10-20 23:45:00+00:00,1761TH,level,Stage,mASD,0.155,51.565511,-1.460667,437480.556113772,185319.46711393973
2023-10-20 23:45:00+00:00,E651,level,Stage,mASD,0.602,51.150722,0.174763,552200.5489415941,141299.5448895222
2023-10-20 23:45:00+00:00,1771,rainfall,Tipping Bucket Raingauge,mm,0.2,52.911156,-2.637129,357250.5330995359,335048.92499655264
2023-10-20 23:45:00+00:00,1792,rainfall,Tipping Bucket Raingauge,mm,0.2,52.307409,-2.728158,350450.5596622341,267949.13799701154
2023-10-20 23:45:00+00:00,2619,level,Stage,mASD,3.016,51.887632,-2.251427,382792.5464857715,221038.3072708542
2023-10-20 23:45:00+00:00,4148,level,Stage,mASD,2.169,52.854343,-1.601779,426912.5662316291,328612.8725923165
2023-10-20 23:45:00+00:00,035103,rainfall,Tipping Bucket Raingauge,mm,0.0,54.541989,-0.815179,476750.5577058451,516948.344022677
2023-10-20 23:45:00+00:00,585512,rainfall,Tipping Bucket Raingauge,mm,0.0,54.37577,-2.72272,353150.55684382585,498048.31379518856
2023-10-20 23:45:00+00:00,3779,rainfall,Tipping Bucket Raingauge,mm,0.2,53.591168,-0.7392,483550.5250589029,411248.61643621017
2023-10-20 23:45:00+00:00,2139,level,Stage,mASD,0.42,51.885938,-2.052672,396471.5754114496,220821.28234279368
2023-10-20 23:45:00+00:00,2894TH,level,Stage,mASD,1.174,51.440219,-0.535292,501899.5312034933,172264.4600560111
2023-10-20 23:45:00+00:00,588006,rainfall,Tipping Bucket Raingauge,mm,0.0,54.378286,-3.103039,328450.5448909094,498648.3202841874
2023-10-20 23:45:00+00:00,E1594,level,Stage,mASD,2.063,53.202079,-0.553771,496700.5331403271,368198.79387935874
2023-10-20 23:45:00+00:00,000076TP,rainfall,Tipping Bucket Raingauge,mm,0.0,51.701508,-0.747539,486650.5319677696,201049.40543426108
2023-10-20 23:45:00+00:00,E1141,level,Stage,mASD,1.188,51.172777,0.173655,552050.5694591759,143749.6183710216
2023-10-20 23:45:00+00:00,5420TH,level,Stage,mASD,0.171,51.713888,0.259177,556172.5272338532,204099.37967878056
2023-10-20 23:45:00+00:00,4088,level,Stage,mASD,2.035,53.707031,-0.725316,484238.5217289776,424154.6309600905
2023-10-20 23:45:00+00:00,2018,level,Stage,mASD,2.275,52.678113,-2.791698,346570.5729203533,309229.04237885674
2023-10-20 23:45:00+00:00,055027_TG_328,level,Stage,mASD,0.243,51.928793,-2.524006,364065.5560870394,225716.3199724654
2023-10-20 23:45:00+00:00,E6270,rainfall,Tipping Bucket Raingauge,mm,0.2,51.032353,0.577858,580850.5213939834,129049.60188221348
2023-10-20 23:45:00+00:00,4142,level,Stage,mASD,2.599,52.976338,-1.86056,409460.5297329449,342118.89864016447
2023-10-20 23:45:00+00:00,E6520,level,Stage,mASD,0.625,50.923434,0.72054,591300.5658519188,117299.73179354426
2023-10-20 23:45:00+00:00,2611,level,Stage,mASD,1.326,52.417555,-1.126182,459526.55399248784,280310.1163625529
2023-10-20 23:45:00+00:00,4259,level,Stage,mASD,0.693,53.023273,-1.680181,421549.522258878,347378.8745458817
2023-10-20 23:45:00+00:00,085322,rainfall,Tipping Bucket Raingauge,mm,0.2,53.571934,-1.588459,427350.5720536417,408448.6635876963
2023-10-20 23:45:00+00:00,2644,level,Stage,mASD,1.143,51.888033,-2.253216,382669.5752994255,221083.3350627892
2023-10-20 23:45:00+00:00,265415TP,rainfall,Tipping Bucket Raingauge,mm,0.0,51.465368,-1.197403,455850.5597357439,174349.4489727495
2023-10-20 23:45:00+00:00,4192TH,level,Stage,mASD,1.252,51.428571,-0.187677,526090.5450513868,171509.4687394811
2023-10-20 23:45:00+00:00,4319TH,level,Stage,mASD,0.074,51.400276,0.019377,540570.5305939814,168739.44007132814
2023-10-20 23:45:00+00:00,4101,level,Stage,mASD,0.927,52.523665,-2.039788,397397.5243558363,291755.0944232895
2023-10-20 23:45:00+00:00,240662TP,rainfall,Tipping Bucket Raingauge,mm,0.0,51.937159,-0.384591,511150.5317016968,227749.31792840653
2023-10-20 23:45:00+00:00,4091,level,Stage,mASD,2.141,53.377166,-1.053244,463080.5505819959,387118.71845302486
