stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,easting,northing
4026,Polesworth,52.627897,-1.613026,2.567,0.002,0.7030000000000001,0.122,426290.5379517527,303419.00031072414
4031,Ilam,53.053456,-1.793028,2.806,0.021,0.524,0.095,413970.5099098825,350708.828700322
4032,Church Warsop,53.206134,-1.165417,1.42,0.11,0.41,0.15,455840.51470397826,367998.8117481096
4033,Hollinsclough LVL,53.198546,-1.906769,2.066,0.05,1.25,0.151,406325.5712416013,366833.7768571938
4036,Twyford Bridge,53.26962,-0.952008,2.815,0.294,1.42,0.162,469990.5720015571,375248.7473190011
4037,Mytham Bridge,53.335557,-1.683843,4.411,0.6930000000000001,3.2,0.777,421150.5583133578,382118.74157220573
4039,Calthorpe Park,52.460104,-1.897221,2.503,0.11,0.416,0.087,407080.5323612457,284689.0448634871
4040,Bucknall,53.017569,-2.162134,2.511,0.03,0.388,0.067,389220.51302537904,346708.9121145442
4040TH,Motspur Park,51.393329,-0.241392,1.877,0.77,2.13,0.912,522450.5434714616,167499.45114945614
4041,Waterhouses,53.04899,-1.879122,3.06,0.084,0.466,0.119,408200.51989802095,350198.8303914792
4043,Chatsworth,53.211297,-1.610938,5.166,0.962,3.3,1.037,426080.52622452803,368318.8311842923
4044,Cuckney LVL,53.2366,-1.145421,2.066,0.05,1.25,0.151,457135.57311501395,371403.7852783116
4045TH,North Cheam,51.374843,-0.208335,2.915,0.7030000000000001,2.39,0.734,524800.5326353172,165499.45118956108
4046,Izaak Walton,53.055864,-1.782274,1.607,0.196,0.59,0.271,414690.5305559035,350978.84116605535
4048,Wingfield Park,53.072731,-1.441438,2.864,0.084,2.0,0.223,437520.53407350153,352978.8110708455
4049,Worksop,53.309224,-1.138194,2.189,0.09,1.05,0.149,457520.5472997175,379488.74581222003
4050,Auckley LVL,53.503749,-1.027736,2.066,0.05,1.25,0.151,464585.5183466423,401223.714377749
4050TH,Morden Park,51.391152,-0.216322,2.399,0.279,1.76,0.459,524200.53799379186,167299.50092167227
4052,Great Bridgford,52.839744,-2.174088,1.381,0.079,0.539,0.223,388370.5487710529,326928.9076274646
4053,Penkridge,52.727805,-2.117669,2.495,0.1,0.756,0.217,392150.55138961104,314468.986120922
4055,Duffield,52.998306,-1.525391,1.879,0.084,0.9,0.142,431950.5546387993,344658.90622716886
4056,Rothley,52.7031,-1.142483,2.217,0.098,1.25,0.15,458040.5737397602,312059.0196401159
4058,Ashbourne,53.013888,-1.738962,1.963,0.068,0.351,0.147,417610.5221848121,346318.887636786
4060,Lowdham,53.024857,-1.028024,1.243,0.058,0.75,0.098,465290.5603166402,347948.88228438294
4061,Basford Bridge,53.06433,-2.026812,2.673,0.14,1.078,0.257,398300.56481803907,351898.88732640917
4064,Scotter,53.498488,-0.664311,2.8200000000000003,0.082,1.75,0.094,488700.5293548564,401028.6832003988
4066,Bacons End,52.484208,-1.731944,1.964,0.082,0.385,0.129,418300.5728851612,287399.02320400556
4067,Church Wilne,52.880685,-1.346428,2.515,0.341,1.6,0.492,444080.55328392657,331668.9136307223
4069,Tamworth,52.631289,-1.697508,2.733,0.06,1.296,0.08,420570.573142718,303768.9964363451
4070TH,New Malden,51.410502,-0.247204,2.459,0.338,2.4,0.779,522000.53971412726,169399.46078532748
4071,Farndon,53.062491,-0.852881,2.76,0.16,0.91,0.22,476970.5437503578,352308.7992834615
4072,Southwell,53.077901,-0.934277,1.997,0.097,1.05,0.135,471490.55366072775,353938.844126627
4074,Kegworth,52.831898,-1.273539,1.312,0.324,1.006,0.412,449040.51745067094,326288.93866481545
4078,Doveridge,52.902503,-1.834928,2.925,0.435,1.405,0.67,411200.54601104243,333908.8591843563
4079,Shallowford,52.858989,-2.187087,1.295,0.109,1.2,0.154,387500.5092851389,329071.9635301733
4080,Lea Marston,52.541117,-1.695622,1.994,0.185,0.799,0.302,420740.50882492005,293739.085573213
4080TH,Wimbledon Common,51.431619,-0.25215,1.868,0.0,1.61,0.1,521600.56756520056,171739.5336531155
4081,Bescot,52.560205,-1.983428,3.506,0.36,1.247,0.318,401220.5541262184,295819.0437626794
4082,Littlethorpe,52.571268,-1.201273,2.638,0.279,2.132,0.464,454230.5727440585,297348.9756450498
4083,Darlaston,52.916247,-2.171867,2.94,0.594,1.486,0.471,388540.54256936867,335438.94088940625
4084,Sandwell LVL,52.531656,-1.958157,2.066,0.05,1.25,0.151,402935.56290596,292644.0408740891
4085,Derby City,52.92726,-1.475443,3.349,0.49,2.0,0.583,435360.51007083914,336778.86183721764
4086,South Wigston,52.573856,-1.13453,2.761,0.524,1.607,0.6000000000000001,458750.5199198729,297689.0024636463
4087,Perry Park,52.524933,-1.911514,3.387,0.265,0.868,0.41,406100.5650845543,291899.045102473
4087TH,Arabella Drive,51.465498,-0.253664,2.066,0.05,1.25,0.151,521405.5107298463,175504.50919340938
4088,Blacktoft TL,53.707031,-0.725316,2.066,0.05,1.25,0.151,484238.5217289776,424154.6309600905
4091,Blyth,53.377166,-1.053244,2.317,0.26,1.6,0.422,463080.55058199586,387118.71845302486
4091TH,Barnes,51.47009,-0.245065,1.836,0.511,2.14,0.897,521990.559746828,176029.4372954632
4093,Pillings Lock,52.758541,-1.164067,2.254,0.649,1.144,0.935,456510.56038777344,318208.95953878434
4094,Castle Farm,52.496238,-1.688419,2.337,0.376,1.275,0.617,421250.5519349429,288749.02843986417
4095,Hopwas,52.643962,-1.73394,3.208,0.252,2.1,0.418,418099.56786654366,305169.00022389134
4098,Keadby,53.591975,-0.738178,7.23,-0.207,6.6,0.612,483616.5773948781,411339.5921193078
4099,Gainsborough,53.392687,-0.776833,5.675,0.344,5.0,1.29,481438.546535789,389124.7671612035
4101,Sheepwash,52.523665,-2.039788,2.83,0.215,2.66,0.286,397397.5243558363,291755.0944232895
4105,Park Hill,52.558696,-1.999094,2.728,0.144,2.16,0.203,400158.5213416952,295651.06280012324
4115,Mansfield The Dykes,53.166753,-1.164236,1.634,0.186,1.0,0.246,455970.5423241192,363618.78364888707
4116,Whitewater Bridge,53.226502,-1.008036,1.423,0.107,0.8,0.244,466320.5617839245,370398.7825616552
4117,Whatstandwell LVL,53.087267,-1.506572,2.066,0.05,1.25,0.151,433145.5101324433,354563.8641245571
4118,Perlethorpe,53.233981,-1.032134,1.382,0.113,0.47,0.175,464700.5746709894,371208.7483322873
4119,Froghall,53.023087,-1.968659,2.98,0.0,2.1,0.02,402199.5350381826,347310.88274751685
4121,Upper Tean,52.953586,-1.989532,1.934,0.034,0.4,0.039,400800.54572318564,339578.8528745586
4122,Mayfield,52.999734,-1.762306,2.982,0.084,2.1,0.241,416049.5696108558,344738.8880670102
4123,Mancetter,52.567357,-1.52579,2.15,0.361,1.7000000000000002,0.455,432239.5693316871,296719.98963413906
4124,Aston Bridge,52.877141,-1.759128,3.545,0.298,1.5550000000000002,0.384,416308.55449710233,331101.9091679763
4125,Marchington,52.874007,-1.799498,1.789,0.103,1.2,0.134,413592.52104955167,330744.94077703624
4126,Clifton Bridge,52.92478,-1.166968,5.392,0.652,2.9,0.86,456100.5680685297,336698.93378444994
4127,Cranfleet Lock LVL,52.879472,-1.254839,2.066,0.05,1.25,0.151,450245.5131398993,331593.94937097403
4129,Cheswick Green,52.376154,-1.814434,1.725,0.177,0.545,0.187,412729.54850078275,275362.1607247636
4131,Willington,52.848235,-1.562071,3.709,0.107,2.35,0.858,429590.5412465372,327948.9524922659
4139TH,Waddon Ponds,51.371312,-0.120688,0.427,-0.246,0.32,0.0,530910.554663057,165259.49606585366
4142,Quixhill,52.976338,-1.86056,2.829,0.209,0.79,0.255,409460.5297329449,342118.89864016447
4143,Leek,53.1201,-2.012802,1.67,0.055,0.505,0.183,399240.54208214604,358102.8576769232
4145,Sharnford,52.522794,-1.29766,1.746,0.08,1.0,0.13,447750.51821306295,291889.07003001275
4146,Pinxton,53.0832,-1.32769,2.52,0.037,1.0,0.072,445130.5528130113,354208.8412062147
4147,Anslow,52.839223,-1.665782,1.997,0.289,1.0,0.303,422610.5698973264,326908.956487869
4148,Egginton,52.854343,-1.601779,2.201,0.135,1.52,0.159,426912.5662316291,328612.8725923165
4149,Nuneaton,52.520949,-1.440825,1.999,0.173,1.72,0.348,438038.52003614913,291599.0115974764
4150TH,Beddington Park,51.373583,-0.138986,1.826,0.029,1.6,0.065,529630.568846999,165479.55250516208
4151TH,River Wandle at Beddington Park FD,51.370858,-0.151524,2.066,0.05,1.25,0.151,528765.5799584961,165154.45575744394
4152,Newcastle Under Lyme,53.008317,-2.228776,2.066,0.05,1.25,0.151,384746.5478010584,345691.87211668224
4153,Hints,52.620739,-1.76228,2.282,0.888,1.5,0.961,416190.5085610583,302579.02932763135
