dateTime,stationReference,parameter,qualifier,unitName,value
2023-10-20T13:30:00Z,E14430,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E10440,level,Stage,mASD,0.312
2023-10-20T13:30:00Z,270669TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,2803TH,level,Stage,mASD,0.298
2023-10-20T13:30:00Z,5339TH,level,Stage,mASD,0.282
2023-10-20T13:30:00Z,4158,level,Stage,mASD,2.317
2023-10-20T13:30:00Z,E12810,level,Stage,mASD,0.116
2023-10-20T13:30:00Z,2040,level,Stage,mASD,0.459
2023-10-20T13:30:00Z,E7780,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,006077,rainfall,Tipping Bucket Raingauge,mm,0.8
2023-10-20T13:30:00Z,E6280,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E2273,level,Stage,mASD,1.250
2023-10-20T13:30:00Z,E2365,rainfall,Tipping Bucket Raingauge,mm,0.400
2023-10-20T13:30:00Z,1486TH,level,Stage,mASD,1.519
2023-10-20T13:30:00Z,055807_TG_320,level,Stage,mASD,1.818
2023-10-20T13:30:00Z,3099,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,238605TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,2293TH,level,Stage,mASD,1.611
2023-10-20T13:30:00Z,E13600,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,300001TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,4050TH,level,Stage,mASD,0.511
2023-10-20T13:30:00Z,E8770,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,035488,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,0290TH,level,Downstream Stage,mASD,0.590
2023-10-20T13:30:00Z,1302TH,level,Stage,mASD,0.048
2023-10-20T13:30:00Z,577271,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,1080TH,level,Stage,mASD,0.791
2023-10-20T13:30:00Z,2129,level,Stage,mASD,0.822
2023-10-20T13:30:00Z,0710TH,level,Stage,mASD,2.784
2023-10-20T13:30:00Z,1087,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:00:00Z,50194,rainfall,Tipping Bucket Raingauge,mm,0.000
2023-10-20T13:30:00Z,2666,level,Stage,mASD,0.732
2023-10-20T13:30:00Z,E1672,level,Stage,mASD,1.880
2023-10-20T13:30:00Z,3346,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,240201TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,2814TH,level,Stage,mASD,1.403
2023-10-20T13:30:00Z,4710,level,Stage,mASD,1.788|18.696
2023-10-20T13:30:00Z,301666,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,0350TH,level,Stage,mAOD,-1.116
2023-10-20T13:30:00Z,2621,level,Stage,mASD,1.559
2023-10-20T13:30:00Z,3803TH,level,Stage,mASD,7.343
2023-10-20T13:30:00Z,E12450,level,Stage,mASD,0.589
2023-10-20T13:30:00Z,5459TH,level,Stage,mASD,1.687
